prompt_id,outlet,period,section,headline
p0043,gript,post,Featured|Irish News,TD: Ban nursing home staff who violently abuse residents
p0044,gript,post,Featured|Irish News,Dept engaging with 19 airlines to address false documents scandal
p0045,gript,post,Featured|World News,"Political leader of Hamas, Ishmail Haniyah, killed in Iran missile strike"
p0046,gript,post,Featured|World News,Dr Cass: children “weaponised” by toxic trans debate
p0047,gript,post,Featured|World News,New Study: link between Alzheimer’s/Parkinson’s and viral infection
p0048,gript,post,Featured|Irish News,“Absolutely pointless”: €1.7m spent on Garda recruitment ads since 2019
p0049,gript,post,Featured|News|World News,WATCH: Russian drone hits apartment block in NATO member Romania
p0050,gript,post,Irish News,Tributes flood in after Scarlett Faulkner passes away
p0051,gript,post,Comment|Comment Ireland|Featured,"No, kids shouldn’t be involved in policy-making"
p0052,gript,post,Featured|Irish News,ICCL calls for “human rights review” of Covid lockdown
p0053,gript,post,Comment Ireland|Featured,The Government’s “misinformation” defence is utter waffle
p0054,gript,post,Featured|Irish News,CITYWEST: news team accuse Gardaí of ‘attack’
p0055,gript,post,Comment Ireland|Comment World|Featured|Irish News|World News,MCGUIRK: Want more houses? Get the Government out of housing.
p0056,gript,post,Featured|Irish News,“People don’t see us as politicians”: Alastair Campbell to Micheál Martin
p0057,gript,post,Irish News,"Fianna Fáil Cllr who criticised immigration policy resigns, says party “detached from ordinary person”"
p0058,gript,post,Comment World,Cruelty Cloaked in Compassion
p0059,gript,post,Comment Ireland|Featured|Irish News,Premium: Making sense of the CSO figures on sexual violence
p0060,gript,post,Comment World|FACT-CHECK|Featured|Irish News,A black day for media misinformation
p0061,gript,post,Featured|News|World News,President Biden promises “peaceful transition” following Trump victory
p0062,gript,post,Comment World|Featured,A year of getting it wrong. A review of the Russia-Ukraine War
p0063,gript,post,Featured|Irish News,Dublin mum says she feels she has more chance of winning the lotto than being housed
p0064,gript,post,Featured|Irish News|News,"Co Fermanagh: Two dead, two injured in shooting incident"
p0065,gript,post,Comment|Comment World|Featured,Is Europe really shifting to the right?
p0066,gript,post,Featured|Irish News,"After Limerick case, medics write to every TD to warn ultrasounds must be provided before abortion"
p0067,gript,post,Featured|Irish News,Dad to be stole bike from teenage boy
p0068,gript,post,Irish News,Funeral of Tadgh Farrell hears of “a lifetime of love”
p0069,gript,post,Featured|World News,Claim puberty blocker ban causing suicide in children unfounded and “dangerous”
p0070,gript,post,Comment Ireland|Culture,PERRINS: No to childfree zones for the child-free
p0071,gript,post,Irish News,HSE confirms external review into abortion misdiagnosis case
p0072,gript,post,Comment Ireland|Featured,Ciara Mageean magnificent and positive in defeat
p0073,gript,post,Comment Ireland|Featured,EU statistics reflect vastly increased levels of illegal immigration
p0074,gript,post,Featured|World News,BREAKING: Video captures Bishop attacked as 4 stabbed during church service
p0075,gript,pre,Comment|Comment Ireland,"Lisa Smith is not one of us, no matter how much she wants to “come home”"
p0076,gript,pre,Comment|Comment Ireland,Ireland a gerontocracy will never be at peace
p0077,gript,pre,Comment Ireland,National Gender Service calls for ‘affirming’ surgical breast removal facilities
p0078,gript,pre,Irish News,Thousands sign petition to Save Dog from Being Put Down
p0079,gript,pre,Comment Ireland|Featured,"On EU membership, the 12% deserve a voice"
p0080,gript,pre,Comment World|Uncategorised,How European green policies caused the energy crisis
p0081,gript,pre,Culture,Kanye West says “Jesus Is King”. Here’s why that matters
p0082,gript,pre,Comment Ireland|Featured,The social scientists are doing alright: ESRI get €10 million for report
p0083,gript,pre,Irish News,"Michelle O’Neill: No, you didn’t see me breach social distancing at that funeral"
p0084,gript,pre,Irish News,Meath village seeks to stop Ukrainian refugee village being built on its doorstep
p0085,gript,pre,World News,Leaked document: AstraZeneca can end no-profit pledge soon
p0086,gript,pre,Comment Ireland,"Despite Climate Hysteria, figures show Ireland has low car ownership rate"
p0087,gript,pre,Featured|Irish News,Poll: Irish public not real keen on the transgender sports stuff
p0088,gript,pre,Featured|World News,Canadian MP cut off in parliament while asking about WEF
p0089,gript,pre,Comment|Comment World,Holding liberalism to account: the prescience of John Henry Newman
p0090,gript,pre,Irish News,Ouch: Maria Bailey resigns from chairmanship of Oireachtas ethics committee
p0091,gript,pre,Culture,Enjoy trad and sean-nós this weekend as Patrick Ó’Keeffe Festival and Oireachtas na Gaeilge move online
p0092,gript,pre,Irish News,Call for thousands of tractors in Dublin: farmers’ protest escalates
p0093,gript,pre,Featured|World News,Danish newspaper sorry for “hypnotic” reporting of Covid narrative
p0094,gript,pre,Culture,"For the creative, the worst of times can be the best of times"
p0095,gript,pre,World News,“Killing us is ok?” – grief as cops who shot man with Down Syndrome acquitted
p0096,gript,pre,Comment|Comment Ireland|Featured,Anti-misinformation think-tank spreads trans misinformation
p0097,gript,pre,Comment|Comment Ireland,Eamon O’Cuiv says: I am against this proposed coalition
p0098,gript,pre,Featured|World News,"Great Barrier Reef has record levels of coral, says survey"
p0099,gript,pre,Comment Ireland|Featured|Irish News,"Irish housing, and the flight of the swallows"
p0100,gript,pre,Irish News,Red Cross warn against Coronavirus scam charging elderly €100 for fake test
p0101,gript,pre,World News,Canada finally drops Covid vaccine requirement for entry at border
p0102,gript,pre,Comment|Comment Ireland,Golfgate and RTÉgate – clearly the elites don’t believe their own spin on Covid
p0103,gript,pre,Irish News,“WAR CRIMINAL” – Hillary Clinton heckled in Belfast
p0104,gript,pre,Comment|Comment World|Featured,Taiwan’s participation can strengthen international cooperation to fight transnational telecommunication fraud in the postpandemic era
p0105,gript,pre,World News,“Slap in the face”: China to reportedly betray Vatican deal
p0106,gript,pre,Comment World,What kind of doctor amputates the breasts of a 12-year-old girl?
p0107,gript,pre,World News,Denmark halts Covid vaccines for under 18s
p0108,gript,pre,Irish News,Abortion doctor provides no tangible evidence of harassment claim
p0109,gript,pre,Culture,The persecution of Laura Whitmore
p0110,gript,pre,Featured|Irish News,Suicide the biggest killer of Irish men under the age of 25
p0111,gript,pre,Comment World,Does Sweden show we need a lockdown against the spread of government over-reach?
p0112,gript,pre,Irish News|News,"Government Jet has flown for 125 hours this year, costing half a million"
p0113,gript,pre,World News,EU to propose vaccine passports for summer travel
p0114,gript,pre,Irish News,"Average rent now almost €2,000 per month in Dublin"
p0115,gript,pre,World News,UK CMO expects another Covid surge by autumn
p0116,gript,pre,Featured|World News,Russia threatens to deploy nukes if Sweden & Finland join NATO
p0117,gript,pre,Featured|Irish News,ICCL Flags “chilling effect on the free expression of opinion” in Government Bill
p0118,gript,pre,Housing|Irish News,Mulhuddart protestors “shocked” as judge says “other agencies” related to children may become involved in housing case
p0119,gript,pre,Irish News,3 Taoisigh Have Ignored Requests to Meet with Victims and Survivors of the Glenanne Gang
p0120,gript,pre,Irish News,17 year old girl died in hospital following a positive covid 19 swab after initially testing negative on admission.
p0121,gript,pre,Irish News,Packed meeting on explicit RSE course hears parents’ anger and concern
p0122,gript,pre,Irish News|News|VACTRACK,"Vaccine Update: 12,776 vaccinated on Tuesday"
p0123,gript,pre,Irish News,Willie O’Dea TD: Mask mandates for school children must go
p0124,gript,pre,World News,‘Looming crisis’ as depression DOUBLES in lockdown: UK study
p0125,gript,pre,Culture,Back to the future with G.K. Chesterton
p0126,gript,pre,Irish News,Dublin suicide helpline volunteers DOUBLE their hours as calls skyrocket amid lockdown
p0127,gript,pre,Irish News,School asked student (13) if she had said anything racist after she was assaulted by black classmate
p0128,gript,pre,Featured|Irish News,“No comment” – woman in SaveKim saga refuses to speak
p0129,gript,pre,Comment Ireland|Featured,Falling down in Cherry Orchard: lots of amenities but few intact families
p0130,gript,pre,Comment Ireland|Featured,The Left wants the Lockdown to be forever
p0131,gript,pre,Featured|Irish News,TD: Ireland going carbon neutral could cost €375 billion
p0132,gript,pre,Irish News,TD says government allowed “act of piracy” off Cork coast
p0133,gript,pre,Irish News,"TD admits ‘gang violence’ causing mayhem in Ballbriggan: ‘stabbings, arson, shopping centre taken over’"
p0134,gript,pre,Comment World,Baby drought fears prompt introduction of pro-family incentives in Iran
p0135,gript,pre,Comment Ireland|Featured,"The migrant, the cost rental house, and the Willy Wonka Government"
p0136,gript,pre,Featured|Irish News,"Ireland taking twice as many Ukrainian refugees as France, USA"
p0137,gript,pre,Comment|Comment Ireland,"Three years after repeal, here’s 5 reasons I’m glad I voted No"
p0138,gript,pre,Irish News,Alanna Idris Quinn (17) loses sight in eye after vicious attack
p0139,gript,pre,Featured|Uncategorised,"Ashton Pound ordered to pay €18,000 to animal cruelty whistle-blower"
p0140,gript,pre,Irish News,Danny Healy-Rae: ‘To isolation or Spike Island’
p0141,gript,pre,Comment Ireland|Featured|Irish News,Where is the evidence that vaccine passports work?
p0142,gript,pre,Comment World,The lasting relevance of Confucius
p0143,gript,pre,World News,Priest with Coronavirus gives up his ventilator to a younger patient and dies
p0144,gript,pre,Comment Ireland,Regina Doherty revives feminist pay gap myth
p0145,gript,pre,Comment Ireland|Featured|Irish News,Is Varadkar safe as FG leader?
p0146,gript,pre,Featured|World News,Moderna developing vaccine for HIV using mRNA technology
p0147,gript,pre,Comment Ireland|Featured,SCALLAN: Fine Gael would be mad to make Simon Harris leader
p0148,gript,pre,Comment Ireland,The boy who brutally raped at 14 will be just 21 when he gets out
p0149,gript,pre,Comment Ireland,We don’t have a clue if people leave when visas expire says Department
p0150,irish_examiner,post,world,Hopes for extension of Israel-Hamas truce as more hostages released
p0151,irish_examiner,post,news,Legal challenge lodged over controversial Northern Ireland legacy legislation
p0152,irish_examiner,post,people,Rita Ora spends 'short' stint exploring Cork ahead of Apple HQ gig
p0153,irish_examiner,post,comment-analysis,Raja Shehadeh: I remember when Palestinians dared to hope for peace. How did it come to this?
p0154,irish_examiner,post,politics,Leo Varadkar: I don't think I'd be here without America’s work on LGBT rights
p0155,irish_examiner,post,columnists,Jennifer Horgan: My children will never see America as I did
p0156,irish_examiner,post,politics,"Sinn Féin members vote on hare coursing, cannabis, and political prisoners"
p0157,irish_examiner,post,comment-analysis,Colin Sheridan: New reforms risk transforming what it means to be an immigrant in Ireland
p0158,irish_examiner,post,world,Activists say Israeli navy has intercepted almost half of Gaza aid flotilla
p0159,irish_examiner,post,politics,Paul Murphy takes High Court case to block super junior ministers from Cabinet meetings
p0160,irish_examiner,post,world,32 Palestinians killed ‘while trying to reach food distribution sites in Gaza’
p0161,irish_examiner,post,news,"Government must help average earners overcome 'impediments' to homebuying, say auctioneers"
p0162,irish_examiner,post,culture,Tom Dunne: Here's why Kneecap is already my favourite film of the year
p0163,irish_examiner,post,culture,Oasis fans travel from Australia for band’s first gig in 16 years
p0164,irish_examiner,post,munster,Mary Crilly to retire from Sexual Violence Centre Cork but says she will continue campaigning
p0165,irish_examiner,post,food,Delicious Déise delights: How Waterford Festival of Food brings fun to Dungarvan
p0166,irish_examiner,post,munster,Fewer buyers queue for Douglas homes as second phase of Bayly development goes on sale
p0167,irish_examiner,post,munster,Photos and letters belonging to Treaty Ports negotiator to go on display on Spike Island
p0168,irish_examiner,post,news,Oxfam Ireland chief calls for Gaza to be central issue in General Election campaign
p0169,irish_examiner,post,parenting,"Colman Noctor: Digital safety needs a village, not an app"
p0170,irish_examiner,post,news,Fishing industry seeks Government help as soaring fuel costs threaten Irish fleet
p0171,irish_examiner,post,news,RSA warns learner drivers tests booked through third-party platforms will be cancelled
p0172,irish_examiner,post,people,Robert De Niro expresses ‘love and support’ for transgender daughter
p0173,irish_examiner,post,news,HSE launches app allowing patients access to their health data
p0174,irish_examiner,post,ourview,Irish Examiner view: Biden will have backing of the Irish
p0175,irish_examiner,post,parenting,Joanna Fortune: My baby keeps pulling other people's hair
p0176,irish_examiner,post,politics,Government split as minister casts doubt on further student fee cut
p0177,irish_examiner,post,court-crime,Man accused of murdering Ukrainian in Cork city remanded
p0178,irish_examiner,post,world,Deadly 6.2-magnitude earthquake strikes central Japan
p0179,irish_examiner,post,love-relationship,Dear Dáithí: I'm worried I'll end up as a carer for my mother-in-law
p0180,irish_examiner,post,world,Man to face charges after fire damages Pennsylvania governor’s mansion
p0181,irish_examiner,post,munster,Cabinet approves €456m M28 Cork to Ringaskiddy motorway project
p0182,irish_examiner,post,news,"Gaeltacht areas have 100 times more Airbnbs to let than permanent rental properties, new data shows"
p0183,irish_examiner,post,world,‘Watch what happens’ – Donald Trump issues new threat to Iran
p0184,irish_examiner,post,news,Accounting exam suited 'match fit' students who had done 'plenty of practice'
p0185,irish_examiner,post,world,"No students killed in Las Vegas shooting with victims all faculty members, university says"
p0186,irish_examiner,post,world,"Donald Trump to speak at hastily called meeting of top military leaders, says official"
p0187,irish_examiner,post,comment-analysis,Ireland’s first Islamist-inspired knife attack raises urgent questions about extremist threats
p0188,irish_examiner,post,news,"Over 65s pay 43% more for health insurance, watchdog finds"
p0189,irish_examiner,post,culture,"Kathleen MacMahon on missing journalism, the mother/daughter relationship and her latest novel"
p0190,irish_examiner,post,court-crime,"Woman, 30s, appears in court in connection with murder of man in Carlow"
p0191,irish_examiner,post,culture,Book Review: Sara Ochs' debut is strikingly assured and accomplished
p0192,irish_examiner,post,world,Massive polio vaccination campaign begins in Gaza
p0193,irish_examiner,post,culture,Revealed: New Dancing With The Stars judge confirmed following Loraine Barry's exit
p0194,irish_examiner,post,news,Morning Ireland the country's most popular radio show as Neil Prendeville on top in Cork
p0195,irish_examiner,post,news,"Poet Michael Longley touched souls with just a few words, funeral hears"
p0196,irish_examiner,post,munster,"Man, 20s, dies in single-vehicle crash in Tipperary"
p0197,irish_examiner,post,world,Elon Musk’s brain-implant company investigated over ‘unsafe’ shipping methods
p0198,irish_examiner,post,farming,Limerick farm sold for accumulated sum of over €3.8m
p0199,irish_examiner,post,world,Artwork thought to be by Banksy appears at foot of London skyscraper
p0200,irish_examiner,post,culture,Theatre review: Emma Donoghue's tale of 1918 has a renewed prescience
p0201,irish_examiner,post,culture,"Five For Your Radar: Mick Flannery, Emma Stone film, book festival..."
p0202,irish_examiner,post,court-crime,West Cork company fined for six breaches of emissions regulations
p0203,irish_examiner,post,comment-analysis,Ireland’s pension auto-enrolment is a turning point for women but it's not the whole story
p0204,irish_examiner,post,politics,Taoiseach urges US firms to expand operations to Ireland
p0205,irish_examiner,post,columnists,"Jennifer Horgan: For the sake of Ireland's children, let's march in solidarity with their carers"
p0206,irish_examiner,post,news,Cork mental health author blackmailed online 'disappointed by victim-blaming'
p0207,irish_examiner,post,world,UN chief says people are looking to leaders for way out of ‘mess’
p0208,irish_examiner,post,farming,Against the grain: What's the latest with the UN's grain deal?
p0209,irish_examiner,post,world,Trump injured but ‘fine’ after attempted assassination at rally
p0210,irish_examiner,post,news,"Migrants more likely to work but face higher poverty rates, ESRI study finds"
p0211,irish_examiner,post,health-wellbeing,My aunt's breast cancer diagnosis saved me
p0212,irish_examiner,post,court-crime,"Chef, 26, died after falling and hitting his head off dryer"
p0213,irish_examiner,post,columnists,Dear Dáithí: A relative left our parents' lovely holiday home in an awful state
p0214,irish_examiner,post,yourview,Letters to the Editor: Some HSE workers are not fit for purpose
p0215,irish_examiner,post,people,‘It’s been the hardest time:’ Ronan Keating shares update following death of his brother
p0216,irish_examiner,post,news,Department of Health and hospital doctors at odds over growing waiting lists
p0217,irish_examiner,post,news,"Unusually mild temperatures predicted for weekend, with highs of 15C forecast"
p0218,irish_examiner,post,world,"Fundraising appeal launched as 5,300 feared dead in flood-hit eastern Libya"
p0219,irish_examiner,post,munster,Parents call for fleet safety audit after Cork school bus driver injured
p0220,irish_examiner,post,comment-analysis,"Trump's targeting of health keeps people hungry, sick and less likely to fight back"
p0221,irish_examiner,post,parenting,Marking milestones and making memories
p0222,irish_examiner,post,news,"Officers would not recommend Defence Forces career to friends or relatives, survey shows"
p0223,irish_examiner,post,news,Brothers hope running 33 marathons in 33 days will raise over €1m for dementia research
p0224,irish_examiner,post,food,Wine with Leslie: Toast the New Year with time-tested Champagne
p0225,irish_examiner,pre,news,DSPCA looking to identify man who shoved injured dog under their gates
p0226,irish_examiner,pre,court-crime,Woman who was sexually abused as child attacked by stranger in Cork city
p0227,irish_examiner,pre,news,Gardaí concerned for welfare of missing Meath man
p0228,irish_examiner,pre,court-crime,Man pointed imitation gun into van driver's face
p0229,irish_examiner,pre,court-crime,Man arrested following burglary at Cork pharmacy
p0230,irish_examiner,pre,news,Russian ambassador to Ireland denies lying to public over Ukraine
p0231,irish_examiner,pre,news,Fine Gael's €1m European election spend outstrips other parties
p0232,irish_examiner,pre,news,What you're entitled to if your holiday goes wrong
p0233,irish_examiner,pre,news,Businesses could face €1.5bn costs amid ‘chaotic’ Brexit transition
p0234,irish_examiner,pre,news,ALONE holding first ever 'Donation Day' in Dublin
p0235,irish_examiner,pre,ourview,The Irish Examiner View: Hogan’s hat in the WTO ring?
p0236,irish_examiner,pre,general,The Skin Nerd: Coming clean- celebrities don’t always know best
p0237,irish_examiner,pre,world,Nagasaki marks 76th anniversary of US atomic bombing
p0238,irish_examiner,pre,news,Four new coronavirus cases confirmed in west of Ireland
p0239,irish_examiner,pre,news,Micheál Martin urged to 'come out of hiding' amid Government formation confusion
p0240,irish_examiner,pre,world,Ardern heading for big win as votes counted in New Zealand poll
p0241,irish_examiner,pre,celebrity,Jerry Harris says ‘I am not an evil person’ as he receives 12-year sentence
p0242,irish_examiner,pre,general,The Fitting Room: Irish fashionistas advocate fashion for all
p0243,irish_examiner,pre,culture,Book review: Emilie Pine's debut novel reinforces her reputation as an empathetic writer
p0244,irish_examiner,pre,world,British forces prepared to launch air strikes to target Islamic State terrorists in Afghanistan
p0245,irish_examiner,pre,news,Man stabbed in St Stephen's Day attack
p0246,irish_examiner,pre,world,Johnson warns ‘huge spike’ of Omicron cases on way at virtual Cabinet
p0247,irish_examiner,pre,news,Donohoe: Next government will be concerned with restoring economy after Covid-19
p0248,irish_examiner,pre,world,Matt Gaetz associate pleads guilty to sex trafficking charges
p0249,irish_examiner,pre,news,Covid-19: 53 additional cases with no new deaths recorded
p0250,irish_examiner,pre,news,"Prepare for potential second lockdown, medical chief tells Northern Ireland"
p0251,irish_examiner,pre,culture,Book Review: Big profits in the global spying game
p0252,irish_examiner,pre,world,South Africa’s last apartheid president FW de Klerk dies at 85
p0253,irish_examiner,pre,news,"Woman, 45, missing from Dublin located safe and well"
p0254,irish_examiner,pre,outdoors,Juanita Browne: It's the perfect time to plant a native tree
p0255,irish_examiner,pre,general,Culture that made me: Pat Shortt
p0256,irish_examiner,pre,columnists,Caroline O'Donoghue: Four ways to advertise Christmas in a pandemic
p0257,irish_examiner,pre,outdoors,Juanita Browne: Give some really wild Christmas gifts this year
p0258,irish_examiner,pre,news,Covid-19: 'Concerning' trend of some people not answering calls from contact tracers
p0259,irish_examiner,pre,world,Greek PM willing to extend ‘hand of friendship’ to long-time rival Turkey
p0260,irish_examiner,pre,fashion-beauty,Get The Look: flawless skin is possible with a little help from these foundations
p0261,irish_examiner,pre,world,Russia warns Ukraine against use of force in rebel regions
p0262,irish_examiner,pre,news,Love triangle trial: Letter from Mary Lowry's lawyer outlined 'concerns' over Patrick Quirke's lease on her land
p0263,irish_examiner,pre,munster,Kerry native believed to be Ireland's oldest man dies at 108
p0264,irish_examiner,pre,news,Estonian Kinahan hitman will challenge extradition bid in October
p0265,irish_examiner,pre,news,Man sues EBS and Ulster Bank over alleged failure to forward payments to former partner
p0266,irish_examiner,pre,celebrity,"Johnny Depp ‘did not receive a fair trial’, lawyers to tell Court of Appeal"
p0267,irish_examiner,pre,news,"4,141 new Covid cases as Omicron spread continues"
p0268,irish_examiner,pre,world,Iraqis prepare to welcome Pope to Baghdad
p0269,irish_examiner,pre,court-crime,Judge allows garda accused of false imprisonment and sexual assault to be named
p0270,irish_examiner,pre,news,Crawford Gallery’s historic collection cast in new light
p0271,irish_examiner,pre,news,Limerick City and County voters could cast ballots for directly-elected mayor ahead of schedule
p0272,irish_examiner,pre,farming,Signpost: Incorporating clover offers a 'win win' for economic and environmental sustainability
p0273,irish_examiner,pre,politics,Mary Lou McDonald 'more popular leader than Leo Varadkar'
p0274,irish_examiner,pre,news,Coveney tells Raab to produce viable alternatives to backstop
p0275,irish_examiner,pre,culture,Guinness Cork Jazz Festival announces stellar programme for 2022 event
p0276,irish_examiner,pre,news,"Friday's Evening Round-Up: EU summit, Good Friday Agreement and mistaken identity of rodent"
p0277,irish_examiner,pre,news,Baby taken to hospital following second petrol bomb attack in Cork
p0278,irish_examiner,pre,news,Calls for more enforcement of Cork's Patrick St car ban
p0279,irish_examiner,pre,culture,"Máire Flavin: Irish soprano on her role in Elektra, Strauss's famously dark opera"
p0280,irish_examiner,pre,news,INMO: Some nurses paying €110 per day for childcare as govt scheme scrapped
p0281,irish_examiner,pre,farming,Global success beckons for North Yorkshire fertiliser
p0282,irish_examiner,pre,news,"Bulletin: Children's hospital board told of rising costs last June; Over 37,000 nurses in third day of strike action"
p0283,irish_examiner,pre,news,Varadkar: 'I don't want a country where politicians live in a security bubble'
p0284,irish_examiner,pre,court-crime,RTE challenge against compensation ruling collapses over 'ageist and sexist' remarks
p0285,irish_examiner,pre,munster,Traffic-calming measures and footpath connectivity 'a must' for future Cork housing developments
p0286,irish_examiner,pre,world,Russian group blamed for hacking Democrats in 2016 ‘attempting new intrusions’
p0287,irish_examiner,pre,news,Former WIT president loses High Court action over college's decision not to reappoint him
p0288,irish_examiner,pre,news,#Elections2019: Ciaran Cuffe tops the poll but nobody reaches quota in Dublin
p0289,irish_examiner,pre,news,'What is the world coming to?'
p0290,irish_examiner,pre,food,Top 8: Supermarket cheddars put to the taste test for school lunches
p0291,irish_examiner,pre,news,Domestic abuse victims 'trapped' in dangerous homes by mortgages
p0292,irish_examiner,pre,world,Salman Rushdie attack provokes both praise and anxiety in Iran
p0293,irish_examiner,pre,general,A name to watch in fashion at just 13 years old
p0294,irish_examiner,pre,news,Education Minister announces €1m fund for free books in primary schools
p0295,irish_examiner,pre,news,Beef price protests escalate in some areas despite agreement to remove legal threat
p0296,irish_examiner,pre,world,Two killed and eight wounded in Tel Aviv shooting
p0297,irish_examiner,pre,news,Emergency €1.1m fund to help prevent closure of Dublin Zoo and Fota
p0298,irish_examiner,pre,people,Legendary talk show host Larry King dies aged 87
p0299,irish_examiner,pre,munster,Beat goes on for busy weekend in Cork
p0300,rte,post,news,Man charged over €6.5m drug seizure at Rosslare Europort
p0301,rte,post,ulster,Pipe bomb defused after being found in Co Down
p0302,rte,post,regional,Puska granted legal aid to appeal murder conviction
p0303,rte,post,middle-east,Watch: US military plane plummets from sky in Kuwait
p0304,rte,post,news,North Korea vows to deploy new weapons at border
p0305,rte,post,news,Financial services firm BNY to close its Wexford facility
p0306,rte,post,regional,Man released in Sean Fox murder investigation
p0307,rte,post,uk,Starmer says he was wrong to name Mandelson as US envoy
p0308,rte,post,news,Tributes to 'larger than life' Joey Forker in Donegal
p0309,rte,post,news,Death toll in Turkish ski resort fire jumps to 76 people
p0310,rte,post,regional,Firefighters tackling wildfire on Fanad Peninsula
p0311,rte,post,analysis-and-comment,Leinster House visited by Ghost of Christmas Past
p0312,rte,post,analysis-and-comment,5 takeaways from Government's housing plan
p0313,rte,post,dublin,Gardaí attacked during violent unrest after stabbing
p0314,rte,post,courts,27 people sentenced in biggest tax fraud case in NI
p0315,rte,post,news,Archbishop of Canterbury urged to resign over scandal
p0316,rte,post,news,Calls for TikTok accountability over 'SkinnyTok' trend
p0317,rte,post,news,Six children waiting for special care unit place
p0318,rte,post,us,US government sues California over egg prices
p0319,rte,post,ireland,"IFJ probe 'undermines' EU-Mercosur trade deal, says IFA"
p0320,rte,post,politics,Significant overspend in cost for SUSI IT system
p0321,rte,post,news,Explained: WHO's high-risk Ebola emergency
p0322,rte,post,europe,Greece forest fire forces evacuations near Athens
p0323,rte,post,courts,Man jailed for seven years over fatal Ballymun shooting
p0324,rte,post,uk,'Non-recent' allegations against Brand made to police
p0325,rte,post,world,US deploys warships amid fears of Venezuela conflict
p0326,rte,post,news,Outcome of EU-US tariff talks 'not certain'
p0327,rte,post,newslens,Unlikely wolf pair sparks row in rural France
