detector,outlet,fpr_target,model,n,tpr
binoculars,(all),0.01,llama2-7b,592,0.7331081081081081
binoculars,(all),0.01,mistral-7b,600,0.7116666666666667
binoculars,(all),0.01,qwen2.5-7b,600,0.315
fastdetectgpt,rte,0.01,claude-opus-4-6,150,0.42
fastdetectgpt,rte,0.01,gpt-4.1,150,0.16666666666666666
fastdetectgpt,rte,0.01,gpt2-large,148,0.831081081081081
fastdetectgpt,rte,0.01,gptneo-1.3b,149,0.825503355704698
fastdetectgpt,rte,0.01,llama2-7b,150,0.9333333333333333
fastdetectgpt,rte,0.01,mistral-7b,150,0.7666666666666667
fastdetectgpt,rte,0.01,qwen2.5-7b,150,0.58
fastdetectgpt,irish_examiner,0.01,claude-opus-4-6,149,0.4697986577181208
fastdetectgpt,irish_examiner,0.01,gpt-4.1,150,0.21333333333333335
fastdetectgpt,irish_examiner,0.01,gpt2-large,141,0.9078014184397163
fastdetectgpt,irish_examiner,0.01,gptneo-1.3b,147,0.9319727891156463
fastdetectgpt,irish_examiner,0.01,llama2-7b,149,0.9530201342281879
fastdetectgpt,irish_examiner,0.01,mistral-7b,150,0.78
fastdetectgpt,irish_examiner,0.01,qwen2.5-7b,150,0.6733333333333333
fastdetectgpt,the_liberal,0.01,claude-opus-4-6,150,0.24666666666666667
fastdetectgpt,the_liberal,0.01,gpt-4.1,150,0.05333333333333334
fastdetectgpt,the_liberal,0.01,gpt2-large,147,0.891156462585034
fastdetectgpt,the_liberal,0.01,gptneo-1.3b,147,0.8707482993197279
fastdetectgpt,the_liberal,0.01,llama2-7b,148,0.8243243243243243
fastdetectgpt,the_liberal,0.01,mistral-7b,150,0.8
fastdetectgpt,the_liberal,0.01,qwen2.5-7b,150,0.43333333333333335
fastdetectgpt,gript,0.01,claude-opus-4-6,150,0.5
fastdetectgpt,gript,0.01,gpt-4.1,150,0.24666666666666667
fastdetectgpt,gript,0.01,gpt2-large,142,0.8943661971830986
fastdetectgpt,gript,0.01,gptneo-1.3b,150,0.9133333333333333
fastdetectgpt,gript,0.01,llama2-7b,145,0.9103448275862069
fastdetectgpt,gript,0.01,mistral-7b,150,0.7733333333333333
fastdetectgpt,gript,0.01,qwen2.5-7b,150,0.6666666666666666
fastdetectgpt,(all),0.01,claude-opus-4-6,599,0.4090150250417362
fastdetectgpt,(all),0.01,gpt-4.1,600,0.17
fastdetectgpt,(all),0.01,gpt2-large,578,0.8806228373702422
fastdetectgpt,(all),0.01,gptneo-1.3b,593,0.8853288364249579
fastdetectgpt,(all),0.01,llama2-7b,592,0.9054054054054054
fastdetectgpt,(all),0.01,mistral-7b,600,0.78
fastdetectgpt,(all),0.01,qwen2.5-7b,600,0.5883333333333334
perplexity,rte,0.01,claude-opus-4-6,150,0.09333333333333334
perplexity,rte,0.01,gpt-4.1,150,0.04666666666666667
perplexity,rte,0.01,gpt2-large,148,0.41216216216216217
perplexity,rte,0.01,gptneo-1.3b,149,0.6912751677852349
perplexity,rte,0.01,llama2-7b,150,1.0
perplexity,rte,0.01,mistral-7b,150,0.9733333333333334
perplexity,rte,0.01,qwen2.5-7b,150,0.62
perplexity,irish_examiner,0.01,claude-opus-4-6,149,0.053691275167785234
perplexity,irish_examiner,0.01,gpt-4.1,150,0.02
perplexity,irish_examiner,0.01,gpt2-large,141,0.3829787234042553
perplexity,irish_examiner,0.01,gptneo-1.3b,147,0.5510204081632653
perplexity,irish_examiner,0.01,llama2-7b,149,0.9731543624161074
perplexity,irish_examiner,0.01,mistral-7b,150,0.98
perplexity,irish_examiner,0.01,qwen2.5-7b,150,0.5133333333333333
perplexity,the_liberal,0.01,claude-opus-4-6,150,0.05333333333333334
perplexity,the_liberal,0.01,gpt-4.1,150,0.013333333333333334
perplexity,the_liberal,0.01,gpt2-large,147,0.40816326530612246
perplexity,the_liberal,0.01,gptneo-1.3b,147,0.6190476190476191
perplexity,the_liberal,0.01,llama2-7b,148,0.9594594594594594
perplexity,the_liberal,0.01,mistral-7b,150,0.98
perplexity,the_liberal,0.01,qwen2.5-7b,150,0.36666666666666664
perplexity,gript,0.01,claude-opus-4-6,150,0.05333333333333334
perplexity,gript,0.01,gpt-4.1,150,0.02
perplexity,gript,0.01,gpt2-large,142,0.8098591549295775
perplexity,gript,0.01,gptneo-1.3b,150,0.9333333333333333
perplexity,gript,0.01,llama2-7b,145,1.0
perplexity,gript,0.01,mistral-7b,150,1.0
perplexity,gript,0.01,qwen2.5-7b,150,0.92
perplexity,(all),0.01,claude-opus-4-6,599,0.06343906510851419
perplexity,(all),0.01,gpt-4.1,600,0.025
perplexity,(all),0.01,gpt2-large,578,0.5017301038062284
perplexity,(all),0.01,gptneo-1.3b,593,0.6998313659359191
perplexity,(all),0.01,llama2-7b,592,0.9831081081081081
perplexity,(all),0.01,mistral-7b,600,0.9833333333333333
perplexity,(all),0.01,qwen2.5-7b,600,0.605
radar,rte,0.01,claude-opus-4-6,150,0.006666666666666667
radar,rte,0.01,gpt-4.1,150,0.0
radar,rte,0.01,gpt2-large,148,0.04054054054054054
radar,rte,0.01,gptneo-1.3b,149,0.006711409395973154
radar,rte,0.01,llama2-7b,150,0.18
radar,rte,0.01,mistral-7b,150,0.32666666666666666
radar,rte,0.01,qwen2.5-7b,150,0.013333333333333334
radar,irish_examiner,0.01,claude-opus-4-6,149,0.0
radar,irish_examiner,0.01,gpt-4.1,150,0.0
radar,irish_examiner,0.01,gpt2-large,141,0.028368794326241134
radar,irish_examiner,0.01,gptneo-1.3b,147,0.02040816326530612
radar,irish_examiner,0.01,llama2-7b,149,0.2080536912751678
radar,irish_examiner,0.01,mistral-7b,150,0.43333333333333335
radar,irish_examiner,0.01,qwen2.5-7b,150,0.02
radar,the_liberal,0.01,claude-opus-4-6,150,0.0
radar,the_liberal,0.01,gpt-4.1,150,0.0
radar,the_liberal,0.01,gpt2-large,147,0.0
radar,the_liberal,0.01,gptneo-1.3b,147,0.0
radar,the_liberal,0.01,llama2-7b,148,0.0
radar,the_liberal,0.01,mistral-7b,150,0.0
radar,the_liberal,0.01,qwen2.5-7b,150,0.0
radar,gript,0.01,claude-opus-4-6,150,0.05333333333333334
radar,gript,0.01,gpt-4.1,150,0.02
radar,gript,0.01,gpt2-large,142,0.5915492957746479
radar,gript,0.01,gptneo-1.3b,150,0.6066666666666667
radar,gript,0.01,llama2-7b,145,0.9793103448275862
radar,gript,0.01,mistral-7b,150,1.0
radar,gript,0.01,qwen2.5-7b,150,0.9133333333333333
radar,(all),0.01,claude-opus-4-6,599,0.015025041736227046
radar,(all),0.01,gpt-4.1,600,0.005
radar,(all),0.01,gpt2-large,578,0.16262975778546712
radar,(all),0.01,gptneo-1.3b,593,0.16020236087689713
radar,(all),0.01,llama2-7b,592,0.33783783783783783
radar,(all),0.01,mistral-7b,600,0.44
radar,(all),0.01,qwen2.5-7b,600,0.23666666666666666
ensemble_majority,(all),0.01,claude-opus-4-6,599,0.11352253756260434
ensemble_majority,(all),0.01,gpt-4.1,600,0.025
ensemble_majority,(all),0.01,gpt2-large,578,0.8494809688581315
ensemble_majority,(all),0.01,gptneo-1.3b,593,0.8802698145025295
ensemble_majority,(all),0.01,llama2-7b,592,0.9273648648648649
ensemble_majority,(all),0.01,mistral-7b,600,0.87
ensemble_majority,(all),0.01,qwen2.5-7b,600,0.4683333333333333
binoculars,rte,0.05,claude-opus-4-6,150,0.32
binoculars,rte,0.05,gpt-4.1,150,0.12666666666666668
binoculars,rte,0.05,gpt2-large,148,0.9864864864864865
binoculars,rte,0.05,gptneo-1.3b,149,0.9865771812080537
binoculars,rte,0.05,llama2-7b,150,0.9666666666666667
binoculars,rte,0.05,mistral-7b,150,0.96
binoculars,rte,0.05,qwen2.5-7b,150,0.6933333333333334
binoculars,irish_examiner,0.05,claude-opus-4-6,149,0.3691275167785235
binoculars,irish_examiner,0.05,gpt-4.1,150,0.15333333333333332
binoculars,irish_examiner,0.05,gpt2-large,141,1.0
binoculars,irish_examiner,0.05,gptneo-1.3b,147,0.9931972789115646
binoculars,irish_examiner,0.05,llama2-7b,149,0.9865771812080537
binoculars,irish_examiner,0.05,mistral-7b,150,0.9866666666666667
binoculars,irish_examiner,0.05,qwen2.5-7b,150,0.82
binoculars,the_liberal,0.05,claude-opus-4-6,150,0.02666666666666667
binoculars,the_liberal,0.05,gpt-4.1,150,0.0
binoculars,the_liberal,0.05,gpt2-large,147,0.9455782312925171
binoculars,the_liberal,0.05,gptneo-1.3b,147,0.891156462585034
binoculars,the_liberal,0.05,llama2-7b,148,0.7972972972972973
binoculars,the_liberal,0.05,mistral-7b,150,0.7466666666666667
binoculars,the_liberal,0.05,qwen2.5-7b,150,0.10666666666666667
binoculars,gript,0.05,claude-opus-4-6,150,0.36666666666666664
binoculars,gript,0.05,gpt-4.1,150,0.14666666666666667
binoculars,gript,0.05,gpt2-large,142,0.9929577464788732
binoculars,gript,0.05,gptneo-1.3b,150,0.9933333333333333
binoculars,gript,0.05,llama2-7b,145,0.993103448275862
binoculars,gript,0.05,mistral-7b,150,0.9533333333333334
binoculars,gript,0.05,qwen2.5-7b,150,0.82
binoculars,(all),0.05,claude-opus-4-6,599,0.2704507512520868
binoculars,(all),0.05,gpt-4.1,600,0.10666666666666667
binoculars,(all),0.05,gpt2-large,578,0.9809688581314879
binoculars,(all),0.05,gptneo-1.3b,593,0.9662731871838112
binoculars,(all),0.05,llama2-7b,592,0.9358108108108109
binoculars,(all),0.05,mistral-7b,600,0.9116666666666666
binoculars,(all),0.05,qwen2.5-7b,600,0.61
fastdetectgpt,rte,0.05,claude-opus-4-6,150,0.6333333333333333
fastdetectgpt,rte,0.05,gpt-4.1,150,0.35333333333333333
fastdetectgpt,rte,0.05,gpt2-large,148,0.9797297297297297
fastdetectgpt,rte,0.05,gptneo-1.3b,149,0.9060402684563759
fastdetectgpt,rte,0.05,llama2-7b,150,0.98
fastdetectgpt,rte,0.05,mistral-7b,150,0.9
fastdetectgpt,rte,0.05,qwen2.5-7b,150,0.82
fastdetectgpt,irish_examiner,0.05,claude-opus-4-6,149,0.6644295302013423
fastdetectgpt,irish_examiner,0.05,gpt-4.1,150,0.4866666666666667
fastdetectgpt,irish_examiner,0.05,gpt2-large,141,0.9858156028368794
fastdetectgpt,irish_examiner,0.05,gptneo-1.3b,147,0.9795918367346939
fastdetectgpt,irish_examiner,0.05,llama2-7b,149,0.9865771812080537
fastdetectgpt,irish_examiner,0.05,mistral-7b,150,0.94
fastdetectgpt,irish_examiner,0.05,qwen2.5-7b,150,0.8666666666666667
fastdetectgpt,the_liberal,0.05,claude-opus-4-6,150,0.3933333333333333
fastdetectgpt,the_liberal,0.05,gpt-4.1,150,0.14
fastdetectgpt,the_liberal,0.05,gpt2-large,147,0.9387755102040817
fastdetectgpt,the_liberal,0.05,gptneo-1.3b,147,0.9659863945578231
fastdetectgpt,the_liberal,0.05,llama2-7b,148,0.9662162162162162
fastdetectgpt,the_liberal,0.05,mistral-7b,150,0.96
fastdetectgpt,the_liberal,0.05,qwen2.5-7b,150,0.7466666666666667
fastdetectgpt,gript,0.05,claude-opus-4-6,150,0.58
fastdetectgpt,gript,0.05,gpt-4.1,150,0.44666666666666666
fastdetectgpt,gript,0.05,gpt2-large,142,0.9295774647887324
fastdetectgpt,gript,0.05,gptneo-1.3b,150,0.9666666666666667
fastdetectgpt,gript,0.05,llama2-7b,145,0.9655172413793104
fastdetectgpt,gript,0.05,mistral-7b,150,0.8733333333333333
fastdetectgpt,gript,0.05,qwen2.5-7b,150,0.8266666666666667
fastdetectgpt,(all),0.05,claude-opus-4-6,599,0.5676126878130217
fastdetectgpt,(all),0.05,gpt-4.1,600,0.3566666666666667
fastdetectgpt,(all),0.05,gpt2-large,578,0.9584775086505191
fastdetectgpt,(all),0.05,gptneo-1.3b,593,0.954468802698145
fastdetectgpt,(all),0.05,llama2-7b,592,0.9746621621621622
fastdetectgpt,(all),0.05,mistral-7b,600,0.9183333333333333
fastdetectgpt,(all),0.05,qwen2.5-7b,600,0.815
perplexity,rte,0.05,claude-opus-4-6,150,0.38666666666666666
perplexity,rte,0.05,gpt-4.1,150,0.24
perplexity,rte,0.05,gpt2-large,148,0.8040540540540541
perplexity,rte,0.05,gptneo-1.3b,149,0.9395973154362416
perplexity,rte,0.05,llama2-7b,150,1.0
perplexity,rte,0.05,mistral-7b,150,1.0
perplexity,rte,0.05,qwen2.5-7b,150,0.9666666666666667
perplexity,irish_examiner,0.05,claude-opus-4-6,149,0.2550335570469799
perplexity,irish_examiner,0.05,gpt-4.1,150,0.17333333333333334
perplexity,irish_examiner,0.05,gpt2-large,141,0.8156028368794326
perplexity,irish_examiner,0.05,gptneo-1.3b,147,0.9387755102040817
perplexity,irish_examiner,0.05,llama2-7b,149,0.9932885906040269
perplexity,irish_examiner,0.05,mistral-7b,150,0.9933333333333333
perplexity,irish_examiner,0.05,qwen2.5-7b,150,0.8933333333333333
perplexity,the_liberal,0.05,claude-opus-4-6,150,0.28
perplexity,the_liberal,0.05,gpt-4.1,150,0.15333333333333332
perplexity,the_liberal,0.05,gpt2-large,147,0.8299319727891157
perplexity,the_liberal,0.05,gptneo-1.3b,147,0.9455782312925171
perplexity,the_liberal,0.05,llama2-7b,148,0.9864864864864865
perplexity,the_liberal,0.05,mistral-7b,150,1.0
perplexity,the_liberal,0.05,qwen2.5-7b,150,0.88
perplexity,gript,0.05,claude-opus-4-6,150,0.3
perplexity,gript,0.05,gpt-4.1,150,0.17333333333333334
perplexity,gript,0.05,gpt2-large,142,0.9788732394366197
perplexity,gript,0.05,gptneo-1.3b,150,1.0
perplexity,gript,0.05,llama2-7b,145,1.0
perplexity,gript,0.05,mistral-7b,150,1.0
perplexity,gript,0.05,qwen2.5-7b,150,0.9866666666666667
perplexity,(all),0.05,claude-opus-4-6,599,0.3055091819699499
perplexity,(all),0.05,gpt-4.1,600,0.185
perplexity,(all),0.05,gpt2-large,578,0.856401384083045
perplexity,(all),0.05,gptneo-1.3b,593,0.9561551433389545
perplexity,(all),0.05,llama2-7b,592,0.9949324324324325
perplexity,(all),0.05,mistral-7b,600,0.9983333333333333
perplexity,(all),0.05,qwen2.5-7b,600,0.9316666666666666
radar,rte,0.05,claude-opus-4-6,150,0.05333333333333334
radar,rte,0.05,gpt-4.1,150,0.04
radar,rte,0.05,gpt2-large,148,0.3581081081081081
radar,rte,0.05,gptneo-1.3b,149,0.37583892617449666
radar,rte,0.05,llama2-7b,150,0.9666666666666667
radar,rte,0.05,mistral-7b,150,0.9666666666666667
radar,rte,0.05,qwen2.5-7b,150,0.74
radar,irish_examiner,0.05,claude-opus-4-6,149,0.1476510067114094
radar,irish_examiner,0.05,gpt-4.1,150,0.17333333333333334
radar,irish_examiner,0.05,gpt2-large,141,0.7021276595744681
radar,irish_examiner,0.05,gptneo-1.3b,147,0.7687074829931972
radar,irish_examiner,0.05,llama2-7b,149,0.9932885906040269
radar,irish_examiner,0.05,mistral-7b,150,0.9933333333333333
radar,irish_examiner,0.05,qwen2.5-7b,150,0.9666666666666667
radar,the_liberal,0.05,claude-opus-4-6,150,0.0
radar,the_liberal,0.05,gpt-4.1,150,0.0
radar,the_liberal,0.05,gpt2-large,147,0.0
radar,the_liberal,0.05,gptneo-1.3b,147,0.0
radar,the_liberal,0.05,llama2-7b,148,0.0
radar,the_liberal,0.05,mistral-7b,150,0.0
radar,the_liberal,0.05,qwen2.5-7b,150,0.0
radar,gript,0.05,claude-opus-4-6,150,0.36
radar,gript,0.05,gpt-4.1,150,0.44
radar,gript,0.05,gpt2-large,142,0.9788732394366197
radar,gript,0.05,gptneo-1.3b,150,0.9933333333333333
radar,gript,0.05,llama2-7b,145,1.0
radar,gript,0.05,mistral-7b,150,1.0
radar,gript,0.05,qwen2.5-7b,150,1.0
radar,(all),0.05,claude-opus-4-6,599,0.14023372287145242
radar,(all),0.05,gpt-4.1,600,0.16333333333333333
radar,(all),0.05,gpt2-large,578,0.5034602076124568
radar,(all),0.05,gptneo-1.3b,593,0.5362563237774031
radar,(all),0.05,llama2-7b,592,0.7398648648648649
radar,(all),0.05,mistral-7b,600,0.74
radar,(all),0.05,qwen2.5-7b,600,0.6766666666666666
ensemble_majority,(all),0.05,claude-opus-4-6,599,0.3672787979966611
ensemble_majority,(all),0.05,gpt-4.1,600,0.16166666666666665
ensemble_majority,(all),0.05,gpt2-large,578,0.9826989619377162
ensemble_majority,(all),0.05,gptneo-1.3b,593,0.9932546374367622
ensemble_majority,(all),0.05,llama2-7b,592,0.9864864864864865
ensemble_majority,(all),0.05,mistral-7b,600,0.9733333333333334
ensemble_majority,(all),0.05,qwen2.5-7b,600,0.8383333333333334
